query_index,query_id,ap
60,11_8_s,0.008620689655172414
226,17_25_s,0.02777777777777778
362,2_20_s,0.2378833978732559
240,18_10_s,0.06896551724137931
70,12_18_s,0.002331002331002331
48,11_25_s,0.0
118,13_30_s,0.2121049473817169
478,6_17_s,0.2181992337164751
589,9_8_s,0.07296770166952724
521,7_29_s,0.01288978716383435
505,7_14_s,0.0
390,3_19_s,0.008620689655172414
388,3_17_s,0.0
331,20_11_s,0.004166666666666667
493,6_30_s,0.18258027513925879
232,17_30_s,0.06185722928009679
160,15_14_s,0.003623188405797101
6,10_16_s,0.08826657213753988
445,5_14_s,0.0332512315270936
281,19_20_s,0.02114439242121531
518,7_26_s,0.017241379310344827
479,6_18_s,0.19676338986683817
203,16_3_s,0.015803061036326758
462,5_2_s,0.012016718913270639
266,18_6_s,0.0018148820326678765
509,7_18_s,0.05543766578249337
71,12_19_s,0.09265734265734266
503,7_12_s,0.0382032667876588
517,7_25_s,0.08613847837985769
124,13_8_s,0.43738656987295826
375,2_4_s,0.12151067323481114
38,11_16_s,0.07926245210727968
68,12_16_s,0.07626262626262625
190,16_1_s,0.0
170,15_23_s,0.0
213,17_13_s,0.012709991158267021
319,1_28_s,0.0659824849480022
317,1_26_s,0.02413793103448276
273,19_13_s,0.0
435,4_4_s,0.06896551724137931
247,18_17_s,0.0
491,6_29_s,0.005658161631258674
278,19_18_s,0.05172413793103448
222,17_21_s,0.1871872887085869
508,7_17_s,0.13678160919540228
264,18_4_s,0.003448275862068966
274,19_14_s,0.03475499092558983
192,16_21_s,0.06551724137931034
251,18_20_s,0.021982758620689654
574,9_22_s,0.12511582370395224
372,2_2_s,0.05716878402903811
137,14_20_s,0.034482758620689655
395,3_23_s,0.019157088122605366
567,9_16_s,0.003448275862068966
507,7_16_s,0.04117405582922824
46,11_23_s,0.0
75,12_22_s,0.002525252525252525
431,4_29_s,0.034482758620689655
294,19_4_s,0.0
499,6_8_s,0.06953152211772902
446,5_15_s,0.1511494252873563
59,11_7_s,0.0
61,11_9_s,0.028304597701149424
72,12_1_s,0.0
495,6_4_s,0.020555306762203317
195,16_24_s,0.02881773399014778
92,12_6_s,0.015060103295397413
209,16_9_s,0.03793103448275863
306,1_16_s,0.12987467794770027
481,6_1_s,0.08035527690700103
276,19_16_s,0.013925729442970823
16,10_25_s,0.053480475382003394
19,10_28_s,0.053507424475166404
512,7_20_s,0.11034482758620688
572,9_20_s,0.26113209560684736
42,11_1_s,0.0022988505747126436
482,6_20_s,0.06193933108633653
183,16_13_s,0.017241379310344827
248,18_18_s,0.038539553752535496
564,9_13_s,0.21748452696728557
142,14_25_s,0.0
428,4_26_s,0.05846332785987958
0,10_10_s,0.045721831460371364
403,3_30_s,0.014459576934221965
449,5_18_s,0.03722668740817561
26,10_4_s,0.03387096774193549
531,8_10_s,0.07837985769020252
318,1_27_s,0.014367816091954021
561,9_10_s,0.005747126436781609
590,9_9_s,0.0
159,15_13_s,0.10952380952380952
497,6_6_s,0.11283524904214559
7,10_17_s,0.004608294930875576
20,10_29_s,0.036038654799266004
526,7_5_s,0.07011494252873562
569,9_18_s,0.21004693028286495
587,9_6_s,0.07575757575757575
546,8_24_s,0.05615763546798029
523,7_30_s,0.08013352346383198
119,13_3_s,0.008439836026042922
