query_index,query_id,ap
510,7_19_s,0.004310344827586207
457,5_25_s,0.187807881773399
548,8_26_s,0.003448275862068966
162,15_16_s,0.002557544757033248
150,14_4_s,0.004310344827586207
329,1_9_s,0.07324171327053787
448,5_17_s,0.008620689655172414
100,13_14_s,0.04882977063504447
590,9_9_s,0.016839482356723737
9,10_19_s,0.020554177005789907
442,5_11_s,0.00610079575596817
217,17_17_s,0.014559386973180077
39,11_17_s,0.032327586206896554
372,2_2_s,0.0
451,5_1_s,0.005747126436781609
126,14_10_s,0.01954022988505747
166,15_1_s,0.0
128,14_12_s,0.034482758620689655
193,16_22_s,0.0038314176245210726
484,6_22_s,0.0
153,14_7_s,0.053659567275185935
198,16_27_s,0.0
209,16_9_s,0.0022988505747126436
523,7_30_s,0.04386973180076628
311,1_20_s,0.09020251778872466
224,17_23_s,0.02307104660045837
142,14_25_s,0.0
174,15_4_s,0.08695652173913043
136,14_1_s,0.010717886670699738
508,7_17_s,0.008555872439719989
459,5_27_s,0.021728171002218185
284,19_23_s,0.003448275862068966
245,18_15_s,0.04827586206896552
480,6_19_s,0.0028735632183908046
549,8_27_s,0.04433497536945812
156,15_10_s,0.056435926773455374
164,15_18_s,0.008333333333333333
456,5_24_s,0.005928614640048396
106,13_1_s,0.10426929392446634
4,10_14_s,0.02903225806451613
13,10_22_s,0.03265321016744167
409,3_8_s,0.019878296146044628
165,15_19_s,0.08695652173913043
194,16_23_s,0.004310344827586207
218,17_18_s,0.04339453649798477
41,11_19_s,0.0182867842097051
2,10_12_s,0.03763440860215053
511,7_1_s,0.03571428571428571
241,18_11_s,0.06687565308254963
87,12_33_s,0.030303030303030304
352,2_11_s,0.05040864308105687
400,3_28_s,0.006211967545638945
326,1_6_s,0.09511710310258405
324,1_4_s,0.0776272577996716
387,3_16_s,0.009717868338557995
98,13_12_s,0.07229839126390851
489,6_27_s,0.04597701149425287
462,5_2_s,0.005928614640048396
192,16_21_s,0.038539553752535496
134,14_18_s,0.014581103510323112
496,6_5_s,0.015124016938898971
158,15_12_s,0.0
141,14_24_s,0.020975474829430206
431,4_29_s,0.0038314176245210726
460,5_28_s,0.013925729442970823
469,5_8_s,0.0024630541871921183
22,10_30_s,0.002932551319648094
73,12_20_s,0.04285714285714285
488,6_26_s,0.0
410,3_9_s,0.003448275862068966
371,2_29_s,0.14568965517241378
414,4_13_s,0.044898419137770054
417,4_16_s,0.06841817186644773
498,6_7_s,0.016091954022988506
487,6_25_s,0.07988505747126436
305,1_15_s,0.02030651340996168
544,8_22_s,0.004310344827586207
24,10_32_s,0.0778440408421433
169,15_22_s,0.003344481605351171
497,6_6_s,0.05862068965517241
365,2_23_s,0.047489413188142766
384,3_13_s,0.011973180076628353
112,13_25_s,0.14484261201593326
278,19_18_s,0.10324924118027566
551,8_29_s,0.0024630541871921183
229,17_28_s,0.008620689655172414
364,2_22_s,0.18171866447728516
281,19_20_s,0.040024630541871914
473,6_12_s,0.03057297109021247
124,13_8_s,0.15452076658973213
23,10_31_s,0.0063364055299539165
32,11_10_s,0.04252873563218391
403,3_30_s,0.015845648604269295
11,10_20_s,0.07130730050933785
585,9_4_s,0.09954686118479222
525,7_4_s,0.08979885057471264
168,15_21_s,0.08695652173913043
334,20_14_s,0.0027777777777777775
257,18_26_s,0.0
368,2_26_s,0.1595638078396699
